Running fetch_all.py...
[874/2102] 080111 OK
[875/2102] 080112 OK
[876/2102] 080113 OK
[877/2102] 080114 OK
[878/2102] 080115 OK
[879/2102] 080116 OK
[880/2102] 080117 OK
[881/2102] 080118 OK
[882/2102] 080601 OK
[883/2102] 080602 OK
[884/2102] 080603 OK
[885/2102] 080604 OK
[886/2102] 080605 OK
[887/2102] 080606 OK
[888/2102] 080607 OK
[889/2102] 080608 OK
[890/2102] 080609 OK
[891/2102] 080610 OK
[892/2102] 080611 OK
[893/2102] 080612 OK
[894/2102] 080613 OK
[895/2102] 080614 OK
[896/2102] 080615 OK
[897/2102] 080616 OK
[898/2102] 080502 OK
[899/2102] 080503 OK
[900/2102] 080504 OK
[901/2102] 080529 OK
[902/2102] 080534 OK
[903/2102] 080506 OK
[904/2102] 080509 OK
[905/2102] 080511 OK
[906/2102] 080512 OK
[907/2102] 080533 OK
[908/2102] 080515 OK
[909/2102] 080501 OK
[910/2102] 080517 OK
[911/2102] 080531 OK
[912/2102] 080528 OK
[913/2102] 080518 OK
[914/2102] 080530 OK
[915/2102] 080519 OK
[916/2102] 080526 OK
[917/2102] 080520 OK
[918/2102] 080532 OK
[919/2102] 080523 OK
[920/2102] 080525 OK
[921/2102] 090201 OK
[922/2102] 090202 OK
[923/2102] 090203 OK
[924/2102] 090204 OK
[925/2102] 090205 OK
[926/2102] 090206 OK
[927/2102] 090207 OK
[928/2102] 090208 OK
[929/2102] 090307 OK
[930/2102] 090301 OK
[931/2102] 090312 OK
[932/2102] 090314 OK
[933/2102] 090316 OK
[934/2102] 090317 OK
[935/2102] 090321 OK
[936/2102] 090322 OK
[937/2102] 090323 OK
[938/2102] 090903 OK
[939/2102] 090904 OK
[940/2102] 090901 OK
[941/2102] 090902 OK
[942/2102] 090402 OK
[943/2102] 090403 OK
[944/2102] 090404 OK
[945/2102] 090405 OK
[946/2102] 090401 OK
[947/2102] 090406 OK
[948/2102] 090407 OK
[949/2102] 090408 OK
[950/2102] 090409 OK
[951/2102] 090410 OK
[952/2102] 090411 OK
[953/2102] 090110 OK
[954/2102] 090102 OK
[955/2102] 090103 OK
[956/2102] 090101 OK
[957/2102] 090104 OK
[958/2102] 090111 OK
[959/2102] 090105 OK
[960/2102] 090106 OK
[961/2102] 090113 OK
[962/2102] 090107 OK
[963/2102] 090108 OK
[964/2102] 090112 OK
[965/2102] 090109 OK
[966/2102] 091002 OK
[967/2102] 091001 OK
[968/2102] 091007 OK
[969/2102] 091004 OK
[970/2102] 091006 OK
[971/2102] 091003 OK
[972/2102] 091005 OK
[973/2102] 090608 OK
[974/2102] 090602 OK
[975/2102] 090603 OK
[976/2102] 090606 OK
[977/2102] 090604 OK
[978/2102] 090605 OK
[979/2102] 090607 OK
[980/2102] 090609 OK
[981/2102] 090601 OK
[982/2102] 090610 OK
[983/2102] 090502 OK
[984/2102] 090501 OK
[985/2102] 090506 OK
[986/2102] 090505 OK
[987/2102] 090507 OK
[988/2102] 090702 OK
[989/2102] 090704 OK
[990/2102] 090701 OK
[991/2102] 090706 OK
[992/2102] 090803 OK
[993/2102] 090801 OK
[994/2102] 090802 OK
[995/2102] 090804 OK
[996/2102] 090805 OK
[997/2102] 091102 OK
[998/2102] 091103 OK
[999/2102] 091104 OK
[1000/2102] 091101 OK
[1001/2102] 091108 OK
[1002/2102] 091105 OK
[1003/2102] 091106 OK
[1004/2102] 091107 OK
[1005/2102] 100209 OK
[1006/2102] 100202 OK
[1007/2102] 100201 OK
[1008/2102] 100203 OK
[1009/2102] 100204 OK
[1010/2102] 100205 OK
[1011/2102] 100210 OK
[1012/2102] 100211 OK
[1013/2102] 100206 OK
[1014/2102] 100207 OK
[1015/2102] 100208 OK
[1016/2102] 100101 OK
[1017/2102] 100102 OK
[1018/2102] 100103 OK
[1019/2102] 100114 OK
[1020/2102] 100113 OK
[1021/2102] 100104 OK
[1022/2102] 100105 OK
[1023/2102] 100106 OK
[1024/2102] 100107 OK
[1025/2102] 100108 OK
[1026/2102] 100109 OK
[1027/2102] 100110 OK
[1028/2102] 100112 OK
[1029/2102] 100111 OK
[1030/2102] 100302 OK
[1031/2102] 100303 OK
[1032/2102] 100304 OK
[1033/2102] 100301 OK
[1034/2102] 100305 OK
[1035/2102] 100502 OK
[1036/2102] 100501 OK
[1037/2102] 100503 OK
[1038/2102] 100504 OK
[1039/2102] 100505 OK
[1040/2102] 100402 OK
[1041/2102] 100403 OK
[1042/2102] 100404 OK
[1043/2102] 100405 OK
[1044/2102] 100401 OK
[1045/2102] 100406 OK
[1046/2102] 100407 OK
[1047/2102] 100408 OK
[1048/2102] 110801 OK
[1049/2102] 110806 OK
[1050/2102] 110805 OK
[1051/2102] 110804 OK
[1052/2102] 110802 OK
[1053/2102] 110803 OK
[1054/2102] 110902 OK
[1055/2102] 110903 OK
[1056/2102] 110901 OK
[1057/2102] 110904 OK
[1058/2102] 110905 OK
[1059/2102] 110906 OK
[1060/2102] 110907 OK
[1061/2102] 110908 OK
[1062/2102] 110909 OK
[1063/2102] 110202 OK
[1064/2102] 110203 OK
[1065/2102] 110206 OK
